glycan_ID,residue,residue_ID,name,anomer,absolute,ring,parent_ID,site,form_name
G08146BT,unassigned,13,GlcNAc,x,D,p,N4,x,GlcpNAc
G08146BT,unassigned,14,Gal,x,D,p,13,x,Galp
G08146BT,unassigned,15,NeuNAc,x,D,p,14,x,NeupNAc
G08146BT,unassigned,7,GlcNAc,x,D,p,N1,x,GlcpNAc
G08146BT,unassigned,8,Gal,x,D,p,7,x,Galp
G08146BT,unassigned,9,NeuNAc,x,D,p,8,x,NeupNAc
G08673AT,unassigned,12,Man,a,D,p,NC,3|6,Manp
G08673AT,unassigned,13,GlcNAc,x,D,p,12,x,GlcpNAc
G08673AT,unassigned,14,Gal,x,D,p,13,x,Galp
G08673AT,unassigned,15,NeuNGc,x,D,p,14,x,NeupNGc
G08673AT,unassigned,6,Man,a,D,p,NC,3|6,Manp
G08673AT,unassigned,7,GlcNAc,x,D,p,6,x,GlcpNAc
G08673AT,unassigned,8,Fuc,x,L,p,7,x,Fucp
G08673AT,unassigned,9,Gal,x,D,p,7,x,Galp
G08673AT,unassigned,10,Gal,x,D,p,9,x,Galp
G08866CW,unassigned,24,Fuc,a,L,p,N75,3,Fucp
G08866CW,unassigned,46,GlcNAc,b,D,p,N37,3,GlcpNAc
G08866CW,unassigned,26,GlcNAc,b,D,p,N80,3,GlcpNAc
G08866CW,unassigned,48,Fuc,a,L,p,46,3,Fucp
G08866CW,unassigned,49,Gal,b,D,p,46,4,Galp
G08866CW,unassigned,28,Fuc,a,L,p,26,3,Fucp
G08866CW,unassigned,29,Gal,b,D,p,26,4,Galp
G08866CW,unassigned,50,NeuNAc,a,D,p,49,3,NeupNAc
G08866CW,unassigned,10,GlcNAc,b,D,p,N88,3,GlcpNAc
G08866CW,unassigned,12,Gal,b,D,p,10,4,Galp
G08866CW,unassigned,13,GlcNAc,b,D,p,12,3,GlcpNAc
G08866CW,unassigned,15,Gal,b,D,p,13,4,Galp
G08866CW,unassigned,16,NeuNAc,a,D,p,15,6,NeupNAc
G09115OQ,unassigned,12,GlcNAc,b,D,p,N1,6,GlcpNAc
G09115OQ,unassigned,14,Gal,b,D,p,12,4,Galp
G09115OQ,unassigned,15,NeuNAc,a,D,p,14,6,NeupNAc
G09115OQ,unassigned,26,NeuNAc,a,D,p,N32,6,NeupNAc
G09176OA,unassigned,11,Fuc,x,L,p,NA,6,Fucp
G09176OA,unassigned,6,Man,a,D,p,NC,x,Manp
G09176OA,unassigned,7,Man,a,D,p,NC,x,Manp
G09176OA,unassigned,8,GlcNAc,x,D,p,7,x,GlcpNAc
G09176OA,unassigned,9,Gal,x,D,p,8,x,Galp
G09349XQ,unassigned,12,GlcNAc,b,D,p,N1,6,GlcpNAc
G09349XQ,unassigned,14,Gal,b,D,p,12,4,Galp
G09349XQ,unassigned,15,NeuNAc,a,D,p,14,3,NeupNAc
G09362VG,unassigned,12,NeuNAc,a,D,p,N2,6,NeupNAc
G09362VG,unassigned,20,NeuNAc,a,D,p,N5,6,NeupNAc
G09394JN,unassigned,8,Fuc,a,L,p,N2,x,Fucp
G09397UV,unassigned,11,GlcNAc,b,D,p,10,2,GlcpNAc
G09397UV,unassigned,13,Gal,b,D,p,11,4,Galp
G09397UV,unassigned,6,Man-4P,a,D,p,NC,3|6,Manp
G09397UV,unassigned,8,GlcNAc,b,D,p,x,x,GlcpNAc
G09397UV,unassigned,10,Man,a,D,p,NC,3|6,Manp
G09405BO,unassigned,11,NeuNAc,a,D,p,10,3,NeupNAc
G09405BO,unassigned,22,NeuNAc,a,D,p,21,3,NeupNAc
G09405BO,unassigned,24,GlcNAc,x,D,p,N4,x,GlcpNAc
G09405BO,unassigned,14,GlcNAc,x,D,p,N4,x,GlcpNAc
G09405BO,unassigned,26,Fuc,a,L,p,24,3,Fucp
G09405BO,unassigned,16,Fuc,a,L,p,14,3,Fucp
G09405BO,unassigned,27,Gal,b,D,p,24,4,Galp
G09405BO,unassigned,17,Gal,b,D,p,14,4,Galp
